,idx,도로명,일자,요일,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
0,1,화곡로,20210601,화,1140037900,화곡로부천시계,화곡로입구,상행,322,3,보조간선도로,외곽,양천구,25.53,25.92,27.11,21.5,28.92,14.77,11.17,5.79,5.31,4.67,9.49,13.67,13.75,14.17,11.17,13.16,8.1,6.75,4.42,9.48,18.8,19.17,19.39,20.54
1,1,화곡로,20210601,화,1140038200,화곡로입구,화곡역,상행,1315,3,보조간선도로,외곽,양천구,21.31,24.26,24.97,26.9,26.01,22.53,16.59,17.43,16.88,15.75,14.83,20.8,19.68,17.77,17.21,17.85,13.87,12.89,14.23,13.99,15.81,17.28,18.55,21.52
2,1,화곡로,20210601,화,1150010100,화곡역,서울강서대학교입구,상행,707,3,보조간선도로,외곽,강서구,34.3,34.02,37.24,35.85,34.44,31.68,31.18,30.86,27.39,27.78,27.58,30.6,30.14,29.89,28.12,28.05,29.01,27.62,28.33,27.65,29.17,29.19,28.74,28.93
3,1,화곡로,20210601,화,1150011100,서울강서대학교입구,우장공원입구교차로,상행,881,3,보조간선도로,외곽,강서구,18.9,24.35,24.67,27.34,26.9,27.65,25.29,18.59,10.36,8.6,18.09,23.55,25.74,25.16,23.7,24.25,24.87,24.29,25.15,26.08,25.64,25.16,26.18,27.71
4,1,화곡로,20210601,화,1150012300,우장공원입구교차로,강서구청입구,상행,340,3,보조간선도로,외곽,강서구,26.96,28.61,20.12,24.87,25.25,18.98,17.22,15.99,10.62,9.62,11.27,15.05,17.13,19.12,18.64,16.48,15.19,14.08,16.79,16.14,18.84,20.91,21.81,23.72
5,1,화곡로,20210601,화,1150013300,강서구청입구,가양역,상행,621,3,보조간선도로,외곽,강서구,31.11,30.25,30.58,33.13,34.01,26.93,21.39,15.77,15.7,15.67,16.1,19.13,22.35,19.74,17.36,15.83,14.84,12.29,12.24,15.27,22.91,24.91,24.29,26.85
6,1,화곡로,20210601,화,1150015100,가양역,가양아파트,상행,89,3,보조간선도로,외곽,강서구,36.57,37.71,40.47,39.91,42.02,40.57,36.65,29.64,30.51,30.75,31.88,32.86,32.37,31.82,34.24,31.19,32.63,31.14,27.1,33.07,30.36,31.63,34.17,33.63
7,1,화곡로,20210601,화,1150016500,가양아파트,가양대교남단,상행,510,2,보조간선도로,외곽,강서구,50.23,53.93,53.08,52.06,58.89,51.36,47.65,47.66,47.66,47.05,46.44,47.84,47.92,50.79,49.66,48.93,48.32,39.47,41.73,43.58,49.25,51.22,47.99,50.65
8,1,화곡로,20210601,화,1130023800,가양대교남단,가양대교북단,상행,1206,2,보조간선도로,외곽,강서구,56.52,56.25,55.79,55.46,59.68,53.39,49.03,47.62,48.62,45.3,50.37,49.18,47.88,47.89,46.66,44.95,46.4,43.89,39.95,41.27,46.5,48.89,50.75,53.57
9,1,화곡로,20210601,화,1130023700,가양대교북단,가양대교남단,하행,1206,2,보조간선도로,외곽,마포구,55.98,58.07,54.22,52.71,54.27,57.89,47.4,18.4,17.12,14.65,24.63,31.32,42.98,44.81,45.02,42.91,42.42,28.29,34.85,42.2,49.82,51.51,52.99,55.77
10,1,화곡로,20210601,화,1150016400,가양대교남단,가양아파트,하행,510,2,보조간선도로,외곽,강서구,40.32,44.42,37.54,34.75,30.92,32.25,30.73,22.29,15.33,6.61,13.83,16.44,16.64,22.92,12.87,11.53,18.75,7.92,8.23,22.1,28.9,31.88,35.54,38.8
11,1,화곡로,20210601,화,1150015000,가양아파트,가양역,하행,91,4,보조간선도로,외곽,강서구,13.33,12.18,20.24,21.84,24.05,25.21,27.8,25.13,23.32,21.18,18.2,16.51,22.98,22.06,19.05,17.57,23.03,20.96,17.56,19.13,16.58,16.49,11.75,11.76
12,1,화곡로,20210601,화,1150013200,가양역,강서구청입구,하행,621,3,보조간선도로,외곽,강서구,32.12,32.63,31.11,26.13,31.16,27.52,31.16,27.82,25.04,26.11,23.37,22.61,23.81,25.95,25.19,24.11,22.65,20.62,12.79,14.02,23.62,26.74,26.74,28.8
13,1,화곡로,20210601,화,1150012200,강서구청입구,우장공원입구교차로,하행,340,3,보조간선도로,외곽,강서구,32.03,32.07,30.66,29.38,30.95,31.64,33.5,27.88,29.05,29.07,26.98,26.41,28.42,26.92,25.59,23.98,22.92,21.5,17.97,18.55,20.71,25.18,24.56,27.37
14,1,화곡로,20210601,화,1150011000,우장공원입구교차로,서울강서대학교입구,하행,883,3,보조간선도로,외곽,강서구,22.13,23.61,24.43,26.26,28.13,30.5,33.3,30.8,32.42,32.13,32.35,30.85,29.49,31.18,29.91,29.08,29.91,30.4,29.39,27.33,27.46,27.71,27.3,29.51
15,1,화곡로,20210601,화,1150010000,서울강서대학교입구,화곡역,하행,699,3,보조간선도로,외곽,강서구,28.09,26.02,27.54,27.72,27.39,24.15,24.35,22.95,20.81,22.06,16.79,18.96,19.77,19.89,20.03,17.27,13.86,15.31,13.94,14.07,18.67,20.35,22.18,23.56
16,1,화곡로,20210601,화,1140038100,화곡역,화곡로입구,하행,1312,3,보조간선도로,외곽,강서구,27.85,27.01,27.53,25.98,27.08,26.93,26.7,21.38,15.45,16.61,19.68,19.72,19.68,21.43,19.48,19.13,17.51,16.22,17.84,20.12,22.55,23.91,24.45,25.78
