일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
20210601,화,4.19로,1080012200,아카데미하우스,국립4.19묘지,상행,1179,1,보조간선도로,외곽,강북구,47.4,29.8,49.6,60.1,58.75,44.6,37.24,38.44,27.24,29.86,41.59,44.54,50.74,33.36,33.81,34.92,49.85,40.68,31.65,33.45,25.87,42.47,45.94,49.14
20210601,화,4.19로,1080012800,국립4.19묘지,국립4.19묘지입구,상행,352,2,보조간선도로,외곽,강북구,21.34,22.62,32.79,28.34,23.23,26.21,11.75,14.19,13.43,11.03,16.3,15.07,13.7,11.14,12.67,13.94,13.61,9.53,11.04,14.16,17.86,22.6,18.41,23.17
20210601,화,4.19로,1080012700,국립4.19묘지입구,국립4.19묘지,하행,354,2,보조간선도로,외곽,강북구,30.57,31.67,31.37,30.79,31.78,27.63,24.94,21.59,20.99,19.87,20.47,20.05,19.93,18.76,19.87,19.01,19.88,20.43,19.72,21.56,19.89,20.73,22.39,21.92
20210601,화,4.19로,1080012100,국립4.19묘지,아카데미하우스,하행,1190,1,보조간선도로,외곽,강북구,48.56,40.97,44.93,66.25,87.24,51.61,46.12,37.36,48.37,44.88,51.09,58.75,41.55,42.89,43.59,44.07,62.28,61.14,47.81,50.33,46.09,49.38,51.1,39.82
20210601,화,가락로,1230024700,방이초교,방이동고분군,상행,844,1,기타도로,외곽,송파구,19.46,21.82,22.83,27.68,20.28,25.43,16.96,18.47,16.05,15.54,14.18,16.33,14.82,16.01,13.84,13.5,15.4,14.64,13.48,13.8,12.92,16.48,16.75,16.64
20210601,화,가락로,1230019500,방이동고분군,송파한양아파트,상행,416,1,기타도로,외곽,송파구,27.78,34.69,36.76,37.76,32,27.58,25.53,27.23,23.49,21.9,22.65,22.71,23.56,22.79,21.06,20.92,18.82,22.66,21.69,20.2,21.07,25.36,23.8,29.02
20210601,화,가락로,1230016300,송파한양아파트,송파사거리,상행,478,1,기타도로,외곽,송파구,22.94,27.61,33.54,35.01,28.48,29.26,28.06,21.5,14.07,15.29,16.32,14.83,17.19,18.32,15.08,13.3,14.96,11.17,16.09,15.86,14.85,18.69,16.57,18.15
20210601,화,가락로,1230014100,송파사거리,배명고교,상행,1288,1,기타도로,외곽,송파구,20.02,23.64,30.45,32.42,31.77,24.98,24.63,20.28,21.82,20.05,19.08,17.83,16.37,17.05,18.17,16.84,17.05,18.62,18.13,18.35,20.1,19.49,21.36,22.67
20210601,화,가락로,1230014200,배명고교,송파사거리,하행,1288,1,기타도로,외곽,송파구,24.5,25.13,29,29.2,26.45,26.01,25.96,25.28,21.23,17.13,14.19,14.43,13.21,14.16,16.63,14.3,16.07,12.32,15.12,15.21,17.3,19.65,19.2,22.29
20210601,화,가락로,1230016400,송파사거리,송파한양아파트,하행,484,1,기타도로,외곽,송파구,26.72,33.46,33.89,36.19,31.18,30.87,29.71,24.72,23.76,20.86,19.31,21.02,19.62,19.28,17.24,18.87,19.13,16.65,16.3,16.31,19.86,20.76,22.07,23.68
20210601,화,가락로,1230019600,송파한양아파트,방이동고분군,하행,417,1,기타도로,외곽,송파구,19.22,24.21,26.66,19.73,21.39,19.41,17.7,18.9,11.29,10.87,13.65,14.78,13.41,13.53,11.58,10.94,9.67,9.23,9.05,9.42,11.38,17.32,17.26,18.69
20210601,화,가락로,1230024800,방이동고분군,방이초교,하행,845,1,기타도로,외곽,송파구,24.98,26.45,25.51,24.54,23.06,24.67,22.81,20.04,20.28,22.04,20.89,17.17,16.76,17.72,19.51,16.28,16.86,16.8,14.95,18.15,23.58,19.45,20.82,21.32
20210601,화,가로공원로,1140033400,가로공원로부천시계,신월사거리,상행,586,2,보조간선도로,외곽,양천구,22.17,19.24,29.71,19.97,20.34,20.66,24.35,12.61,11,11.42,25.92,14.44,18.75,17.48,18.33,19.56,16.47,16.92,14.11,14.94,19.78,18.8,12.09,21.14
20210601,화,가로공원로,1140034800,신월사거리,월정초교앞,상행,530,3,보조간선도로,외곽,양천구,28.99,28.47,30.34,29.6,24.64,24.14,26.31,25.75,23.7,24.3,23.87,20.71,16.34,20.01,19.94,23.55,24.3,21.72,23.38,22.38,26.82,24.17,22.81,26.95
20210601,화,가로공원로,1150008900,월정초교앞,강서나누리병원,상행,250,3,보조간선도로,외곽,양천구,16.5,26.18,23.11,20.3,18.41,18.02,23.82,19.46,19.51,19.51,19.81,19.01,17.72,19.17,17.34,17.31,18.24,13.89,18.53,20.89,20.06,21.91,17.52,19.92
20210601,화,가로공원로,1150009100,강서나누리병원,화곡터널북단,상행,517,3,보조간선도로,외곽,강서구,23.79,25.24,28.78,30.89,20.56,18.31,22.74,20.44,14.48,19.66,18.02,16.8,15.73,23.16,22.56,20.11,17.62,16.12,17.78,22.24,21.64,18.97,20.72,23
20210601,화,가로공원로,1150009000,화곡터널북단,강서나누리병원,하행,513,3,보조간선도로,외곽,강서구,25.92,26.69,27.18,23.5,24.78,24.08,19.92,22.03,23.08,23.45,20.92,19.55,21.18,19.6,19.49,23.89,24.21,22.5,23.51,20.62,23.36,21.53,21.98,19.94
20210601,화,가로공원로,1150008800,강서나누리병원,월정초교앞,하행,250,3,보조간선도로,외곽,강서구,39.73,31.58,36.81,32.84,42.48,32.77,26.72,33.16,29.71,31.48,28,28.99,29.56,26.22,27.57,27.86,27.59,24.82,25.86,27,26.39,29.92,33.74,33.89
20210601,화,가로공원로,1140034700,월정초교앞,신월사거리,하행,530,3,보조간선도로,외곽,양천구,21.43,17.82,16.17,26.27,26.96,23.26,23.31,21.73,21.55,17.8,17.65,19.28,17.33,18.03,19.79,22.99,17.93,15.59,19.03,19.66,20.92,21.65,25.32,22.48
20210601,화,가로공원로,1140033300,신월사거리,가로공원로부천시계,하행,586,2,보조간선도로,외곽,양천구,22.58,22.83,25.08,18.5,22.1,24.75,24.33,19.17,21.5,20.83,16.75,23.5,20.75,24.58,18.42,20.5,19.25,19.25,20.08,19.67,19.42,20,23.17,21.67
20210601,화,가로공원로76길,1150008400,강서나누리병원,화곡대림아파트,상행,576,1,기타도로,외곽,강서구,18.76,27.77,20.1,21.4,25.43,23.8,16.65,19.51,14.64,17.18,14.74,12.66,13.43,14.7,15.62,14.83,15.72,12.87,15.21,16.38,17.58,18.28,20.5,20.79
20210601,화,가로공원로76길,1150008500,화곡대림아파트,강서나누리병원,하행,572,1,기타도로,외곽,강서구,17.61,21.57,25.81,24.54,24.18,16.99,18.56,12.83,10.86,11.75,12.17,15.25,13.83,15.01,14.51,12.54,11.62,10.42,13.7,11.98,17.68,15.72,19.02,17.34
