ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,starbucks_,starbuck_1,starbuck_2,starbuck_3,starbuck_4
"20090701",태조 이성계 무덤에서 유래된 역사성 반영,"20",Mangu-ro,"20130313",직권수정(속성변경),"99","20090710","20190610145717",휘경동 343-23,"1","374",휘경동 7-42,망우로,"3005032",7.00000000,6.00000000,"3","11230","2",상봉역,서울특별시 중랑구 망우로 307 (상봉동)1522-3232,"37.59689","127.08647",
"20090701",태조 이성계 무덤에서 유래된 역사성 반영,"20",Mangu-ro,"20130313",직권수정(속성변경),"99","20090710","20190610145301",휘경동 343-23,"1","371",휘경동 7-42,망우로,"3005032",3.50000000,6.00000000,"3","11230","2",상봉역,서울특별시 중랑구 망우로 307 (상봉동)1522-3232,"37.59689","127.08647",
"20100419",조선 태조의 계비인 신덕왕후의 능(陵)인 ‘정릉(貞陵)’에서 유래된 정릉동의 동명을 인용하여 부여,"10",Jeongneung-ro,"20120111","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030220128",정릉동 산87-1 임,"1","4488",하월곡동 104-134 천,정릉로,"3107014",5.00000000,43.00000000,"3","11290","3",길음역,서울특별시 성북구 정릉로 376 (돈암동)1522-3232,"37.602139","127.025271",
"20100419",조선 태조의 계비인 신덕왕후의 능(陵)인 ‘정릉(貞陵)’에서 유래된 정릉동의 동명을 인용하여 부여,"10",Jeongneung-ro,"20120111","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030220128",정릉동 산87-1 임,"2","4489",하월곡동 104-134 천,정릉로,"3107014",4.00000000,27.00000000,"3","11290","3",길음역,서울특별시 성북구 정릉로 376 (돈암동)1522-3232,"37.602139","127.025271",
"20091217",경희대학교 가는 중심도로,"10",Kyungheedae-ro,,직권수정(속성변경),"99","20091217","20190607163853",회기동 16-61,"1","3",회기동 36-3,경희대로,"3105002",5.50000000,57.00000000,"3","11230","3",경희대,서울특별시 동대문구 경희대로 16-1 (회기동)1522-3232,"37.5928812","127.0528085",
"20100419",청계천을 따라 조성된 도로의 특성을 반영하여 청계천 명칭을 인용,"20",Cheonggyecheon-ro,,직권수정(도로폭),"99","20100422","20150506162740",신설동 109-13,"0","2493",답십리동 463-13,청계천로,"3100021",25.00000000,5900.00000000,"3","11230","2",황학캐슬,서울특별시 중구 청계천로 400 (황학동) 롯데캐슬베네치아1522-3232,"37.57124","127.022905",
"20100507",행정구역 명칭 사용,"20",Cheonho-daero,,"광역도로 정비 및 부여사유, 부여방식 정비","90","20100315","20141030215610",신설동 117-21,"1","3673",장안동 204-13,천호대로,"2000008",2.00000000,15510.00000000,"2","11230","1",답십리역,서울특별시 동대문구 천호대로 263 (답십리동)1522-3232,"37.568466","127.051106",
"20100605",서울 동부지역을 가로지르는 것을 의미,"20",Dongil-ro,,"광역도로 정비 및 부여사유, 부여방식 정비","90","20100710","20141030215736",면목동718-1,"1","3254",묵동329,동일로,"3000001",4.00000000,28595.00000000,"3","11260","1",묵동,서울특별시 중랑구 동일로 952 1522-3232,"37.615368","127.076633",
"20100605",서울 동부지역을 가로지르는 것을 의미,"20",Dongil-ro,,"광역도로 정비 및 부여사유, 부여방식 정비","90","20100710","20141030215736",면목동718-1,"1","3255",묵동329,동일로,"3000001",4.00000000,28595.00000000,"3","11260","1",묵동,서울특별시 중랑구 동일로 952 1522-3232,"37.615368","127.076633",
"20100514",장월로에서 분기되는 도로구간으로 해당 일련번호 부여,"10",Jangwol-ro 38-gil,"20200130",도로구간변경,"12","20100610","20200130093319",장위동 143-1,"0","1588",장위동 76-4,장월로38길,"4121535",16.00000000,186.00000000,"4","11290","3",장위뉴타운,서울특별시 성북구 장월로38길 4 (장위동)1522-3232,"37.6179569","127.0515357",
"20090710",서울의 남쪽을 연결하는 도로,"20",Nambusunhwan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100315","20141030225559",방배동 504-1,"0","403",양재동 2-41,남부순환로,"2000003",40.00000000,32620.00000000,"2","11650","1",신월동DT,서울특별시 양천구 남부순환로 319 (신월동)1522-3232,"37.53829235","126.8271014",
"20100503",방배역 인근 조선시대 효령대군의 묘가 있는 역사성 반영,"10",Hyoryeong-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225607",방배동 504-1,"1","184",서초동 1340-6,효령로,"3121021",30.00000000,43.00000000,"3","11650","3",남부터미널2,서울특별시 서초구 효령로 274 (서초동)1522-3232,"37.48436736","127.0142192",
"20100419",서대문안을 의미하는 새문안의 의미를 인용,"20",Saemunan-ro,,기재내용정정,"71","20100422","20181106091951",서울특별시 중구 충정로1가 85 (충정로 삼거리),"2","3134",서울특별시 종로구 세종로 211 (세종로 사거리),새문안로,"3005004",2.00000000,1100.00000000,"3","11110","2",문화일보,서울특별시 중구 새문안로 22 (충정로1가) 문화일보1522-3232,"37.56712291","126.9686642",
"20100419",청계천을 따라 조성된 도로의 특성을 반영하여 청계천 명칭을 인용,"10",Cheonggyecheon-ro,,기재내용정정,"71","20100422","20181106092040",서울특별시 종로구 세종로 139(동아미디어센터),"1","352",서울특별시 동대문구 답십리동 463-13(신답초등학교),청계천로,"3100021",6.00000000,5900.00000000,"3","11110","2",황학캐슬,서울특별시 중구 청계천로 400 (황학동) 롯데캐슬베네치아1522-3232,"37.57124","127.022905",
"20100419",조선5대 궁궐의 하나인 창경궁 명칭 인용,"10",Changgyeonggung-ro,"20110303",기재내용정정,"71","20100422","20181106092032",서울특별시 중구 충무로5가 19-7 (퇴계로),"1","353",서울특별시 성북구 성북동1가 50-3 (한성대입구 사거리),창경궁로,"3005008",4.00000000,3170.00000000,"3","11110","2",종로플레이스,서울특별시 종로구 창경궁로 120 (인의동)1522-3232,"37.57319","126.998309",
"20100419",조선5대 궁궐의 하나인 창경궁 명칭 인용,"10",Changgyeonggung-ro,"20110303",기재내용정정,"71","20100422","20181106092032",서울특별시 중구 충무로5가 19-7 (퇴계로),"1","354",서울특별시 성북구 성북동1가 50-3 (한성대입구 사거리),창경궁로,"3005008",5.00000000,3170.00000000,"3","11110","2",종로플레이스,서울특별시 종로구 창경궁로 120 (인의동)1522-3232,"37.57319","126.998309",
"20100419",조선5대 궁궐의 하나인 창경궁 명칭 인용,"10",Changgyeonggung-ro,"20110303",기재내용정정,"71","20100422","20181106092032",서울특별시 중구 충무로5가 19-7 (퇴계로),"1","2094",서울특별시 성북구 성북동1가 50-3 (한성대입구 사거리),창경궁로,"3005008",2.00000000,3170.00000000,"3","11110","2",종로플레이스,서울특별시 종로구 창경궁로 120 (인의동)1522-3232,"37.57319","126.998309",
"20100419",서대문안을 의미하는 새문안의 의미를 인용,"20",Saemunan-ro,"20180314",직권수정(속성변경),"99","20100422","20191010091140",서울특별시 중구 충정로1가 85 (충정로 삼거리),"1","3141",서울특별시 종로구 세종로 211 (세종로 사거리),새문안로,"3005004",1.00000000,1100.00000000,"3","11110","2",문화일보,서울특별시 중구 새문안로 22 (충정로1가) 문화일보1522-3232,"37.56712291","126.9686642",
"20100419",조선시대부터 형성된 도로의 역사성 인용,"10",Jong-ro,"20110303",직권수정(속성변경),"99","20100422","20160920164354",세종로 1-68,"1","357",숭인동 1493,종로,"3100013",40.00000000,25.00000000,"3","11110","3",종로3가,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)1522-3232","37.5705527","126.9902055",
"20100419",조선시대부터 형성된 도로의 역사성 인용,"10",Jong-ro,"20110303",직권수정(속성변경),"99","20100422","20160920164354",세종로 1-68,"1","360",숭인동 1493,종로,"3100013",40.00000000,48.00000000,"3","11110","3",종로3가,"서울특별시 종로구 종로 113-1, 1-4층 (종로3가)1522-3232","37.5705527","126.9902055",
