store_name,유동인구_평균,차선수,cluster
KG타워,24141,4,3
SSG마켓도곡R,30953,4,3
가락시장역,37909,2.666666667,1
가재울뉴타운,20391,2,0
강남R,97922,4,2
강남구청역,41704,2,0
강남구청정문,43176,3,1
강남대로,97922,4,2
강남대로논현R,33095,4,3
강남대로신사,34063,4,3
강남우성,97922,4,2
강동구청DT,24938,2,0
강동역,30164,5,3
강북구청사거리,27859,2,0
강서구청사거리,20504,3,3
건국대,33461,3,3
건대입구,33461,3,3
경희궁로,22874,0,0
경희대삼거리,18320,2,0
공덕,37752,4,1
공덕오거리,20724,2.333333333,0
공릉DT,42818,2,0
공릉역,42818,2,0
광나루,36473,2,0
광운대,23363,1,0
광장,36473,3,1
광화문D타워,22874,1,0
광화문우체국,28483,4,3
교대,31186,3,3
교대법원,41208,3,1
교대역,31186,2.75,3
구로하이엔드,39268,3,1
구역삼사거리,97922,2.6,2
구의DT,21339,3,3
구의역,24498,2,0
구파발역,63305,1,0
국기원사거리,97922,4,2
국립중앙의료원,21022,3,3
군자역,19317,3.5,3
굽은다리역,28627,2,0
금천시흥,28040,2,0
금호역,12799,3,3
길동역,51131,3,1
까치산역,47359,3,1
낙성대DT,18871,4,3
낙성대역,18871,4,3
남가좌사거리,20391,1,0
남부터미널,31186,3,3
남부터미널2,64170,2,1
남성역,19764,2,0
내방역,25146,2,0
노량진동,36061,3,1
노량진역,36061,3,1
노원마들역,17677,3,3
노원역,48537,2,0
논현역사거리,41326,4,1
논현힐탑,41704,3,1
답십리역,22891,5,3
당산,35769,2.666666667,1
당산대로,35769,3,1
당산역사거리,35769,2.333333333,0
대우재단빌딩,22260,2,0
대치,49688,3.333333333,1
대치사거리,49688,2.6,1
대치삼성프라자,49688,4,1
대치역,28358,4,3
대치은마사거리,49688,4,1
대치한티,37541,3,1
도곡공원,52263,3,1
도곡역,28358,4,3
독립문역,16799,3,3
독산사거리,34262,2,0
동교,62256,3,1
동대문공원,21022,3,3
동대문두타,21022,4,3
동대입구역,10312,3,3
동묘앞역,13072,2.4,0
동부이촌동,27412,2,0
동빙고,16698,1,0
둔촌동,26633,5,3
등촌,39037,3.2,1
등촌역,18873,4,3
뚝섬역,20362,3,3
르네상스사거리,97922,4,2
마곡나루공원,32247,2,0
마곡역,48802,4,1
마포아크로,20724,5.5,3
마포염리,13491,2,0
마포이마트,20724,3,3
마포일진빌딩,20724,5,3
망원역,62256,3,1
명동남산,28483,2,0
명동역,28483,2,0
명동입구,28483,1,0
명일역,28627,2,0
목동,40547,5,1
목동10단지,23312,4,3
목동7단지,45627,5,1
목동8단지,20291,5,3
목동역,32888,3,3
목동트라팰리스,45627,4,1
목동파라곤,45627,3.5,1
몬테소리,41208,3.5,1
무교동,28483,2,0
무교로,28483,2,0
묵동,26575,3,3
묵동이마트,26575,3,3
문래동,40040,2,0
미아사거리역,22274,2.5,0
미아역,22274,2,0
미아이마트,16027,2.333333333,0
발산역,39037,3,1
발산역사거리,48802,4,1
방배,25146,2,0
방배다이치빌딩,21403,2,0
방배로,19793,3,3
방배역,21403,2.333333333,0
방이역,38011,4,1
뱅뱅사거리,36550,4,1
별다방,22260,2,0
봉은사로선정릉,38899,3,1
봉은사역,35255,3,1
불광역,34060,3,3
사가정역,20503,1,0
삼성,38899,4,1
삼성역섬유센터R,49688,4,1
삼성현대힐,38899,3,1
삼청동,5268,1,0
상계초교사거리,48537,3,1
상수역,25350,2.333333333,0
상암DMC,46250,4,1
상왕십리역,30053,2,0
서강광흥창역,25350,4,3
서강대,18567,3,3
서강대흥역,20883,3,3
서교,62256,3,1
서교동사거리,62256,3,1
서대문역,33585,3,3
서소문,24141,3,3
서소문로,24141,3,3
서소문배재,24141,3,3
서울교대,31186,3,3
서울대역,18871,4,3
서울대입구역,38481,4,1
서울세관사거리,41704,3,1
서울아트센터,64170,4,1
서울역서부,20780,2,0
서이초교사거리,41879,2,0
서초구청,41879,4.25,1
서초동,31186,3,3
서초법원,64170,3,1
서초우성사거리,41879,4,1
서초중앙로,40479,3,1
석촌서호,31091,3,3
석촌호수,29578,2,0
선릉동신빌딩R,38899,4,1
선릉역,97922,4,2
선유도역,29001,2,0
선유동이레빌딩,29001,4,3
선정릉역,38899,3,1
성대입구,26705,4,3
성수낙낙,31881,2,0
성수역,31881,1,0
소공로,24141,1,0
소공로북창,24141,2,0
송파개롱역,28576,3,3
송파구청,33071,3,3
송파나루역DT,29578,3,3
송파마천사거리DT,16923,2,0
송파방이DT,18752,3,3
송파사거리,29578,1,0
송파위례,34098,0,0
수유역,19348,2,0
숙대,20780,1,0
숭실대,43961,2,0
스탈릿대치R,28358,4,3
스페이스본,22874,2,0
시청,28483,2,0
시청플러스,28483,2,0
신논현역,33095,4,3
신당역,10619,3,3
신당역사거리,12939,3,3
신림,26927,2,0
신림DT,26927,4,3
신림사거리,26927,4,3
신림역포도몰,26927,2.5,0
신사역성일빌딩,41326,4,1
신설동역,37959,2,0
신세계본점5F,22260,4,3
신세계타임스퀘어1F,50662,3,1
신세계타임스퀘어B2,50662,3,1
신월동DT,13831,4,3
신정DT,32888,3,3
쌍문도봉로,27454,2,0
쌍문역,23362,2,0
아차산역,21339,4,3
아크로힐스논현,97922,3,2
아크플레이스,97922,4,2
아현역,35527,0,0
압구정로데오역,43176,3,1
압구정미소,34464,2.333333333,0
압구정역,34464,2.333333333,0
압구정윤성빌딩,34464,2.666666667,1
애오개역,26391,4,3
약수역,22896,3.333333333,3
양재강남빌딩R,36550,4,1
양재역,50429,4,1
양천향교역,48802,3,1
어린이대공원역,19317,3,3
역삼대로,97922,4,2
역삼럭키,97922,3,2
역삼역,97922,4,2
역삼이마트,52263,2,1
역삼초교사거리,97922,2,2
역삼포스코,97922,4,2
연대동문,47972,3,1
연세세브란스,22260,2,0
연세종합관,47972,4,1
연신내,23762,3,3
연신내역사거리,33281,3,3
연희DT,37606,2,0
연희동,37606,2,0
염창역,32346,4,3
영동2교,50429,3,1
영등포KT,50662,3,1
영등포본동,18657,3,3
영등포시장교차로,22766,3,3
예술의전당,64170,4,1
올림픽공원북2문,24938,1,0
올림픽대교북단,31265,2.2,0
올림픽훼미리,40430,3,1
왕십리역,30053,2,0
외대,21953,1,0
용산리첸시아,21156,2,0
우장산역,35165,3,1
은평구청입구,27437,0,0
은행사거리,26338,2,0
을지로2가,28483,3.4,3
을지로4가역,16491,3,3
을지로내외빌딩R,28483,3,3
을지로한국빌딩,28483,3,3
을지병원사거리,41704,3,1
이마빌딩,53772,2,1
이수역사거리,25146,4,3
이수자이,25409,2,0
이촌,27412,2,0
이태원역,11051,2,0
자양,23924,2,0
자양사거리,23924,3,3
잠실새내역,34861,3,1
잠실시그마타워,37001,4,1
장위뉴타운,7700,0,0
정부서울청사R,22874,1.5,0
종각,53772,4,1
종로3가,53772,4,1
종암,39291,4,1
종암DT,39291,4,1
중계역,48537,2,0
중곡,16084,3.5,3
중구저동,28483,1,0
중앙대,30536,0,0
중화역,26002,2,0
차병원사거리,41704,3,1
천호대로길동,51131,5,1
천호로데오,30164,5,3
천호사거리,45413,3,1
천호역,25857,5,3
청담공원,35255,3,1
충무로역,10438,3,3
충정타워,36689,3,1
코엑스몰,35255,3,1
큰길타워,97922,4,2
포스코사거리,35255,4,3
포이,15244,3,3
포포인츠명동,28483,1,0
학동역,41704,3,1
한강진역R,30289,2,0
한남동R,30289,2,0
한양대,18069,3,3
한티역,28358,4,3
합정,21235,3,3
홍대공항철도역,62256,3,1
홍대삼거리,25350,1,0
홍대역,62256,3,1
홍대역8번출구,62256,3,1
홍대입구역사거리R,62256,3,1
홍제역,15845,3,3
화곡DT,17986,2,0
화곡동,47359,3,1
환구단,24141,3,3
황학사거리,30053,1.6,0
황학캐슬,12939,2,0
효창공원앞역,10216,3,3
