store_name,유동인구_평균,거리,차선수
KG타워,24141,501,4
SSG마켓도곡R,30953,564,4
가락시장역,37909,483,2.666666667
가재울뉴타운,20391,833,2
강남R,97922,323,4
강남구청역,41704,803,2
강남구청정문,43176,812,3
강남대로,97922,776,4
강남대로논현R,33095,785,4
강남대로신사,34063,580,4
강남우성,97922,414,4
강동구청DT,24938,698,2
강동역,30164,742,5
강북구청사거리,27859,443.25,2
강서구청사거리,20504,340,3
건국대,33461,877,3
건대입구,33461,877,3
경희궁로,22874,163,0
경희대삼거리,18320,880,2
공덕,37752,1309,4
공덕오거리,20724,488.6666667,2.333333333
공릉DT,42818,912,2
공릉역,42818,397,2
광나루,36473,1616,2
광운대,23363,1097,1
광장,36473,523,3
광화문D타워,22874,251,1
광화문우체국,28483,204,4
교대,31186,597,3
교대법원,41208,998,3
교대역,31186,998,2.75
구로하이엔드,39268,2061,3
구역삼사거리,97922,538.2,2.6
구의DT,21339,479,3
구의역,24498,509,2
구파발역,63305,1329,1
국기원사거리,97922,557,4
국립중앙의료원,21022,504,3
군자역,19317,625.5,3.5
굽은다리역,28627,624,2
금천시흥,28040,562,2
금호역,12799,411,3
길동역,51131,811,3
까치산역,47359,355,3
낙성대DT,18871,1782,4
낙성대역,18871,240,4
남가좌사거리,20391,436,1
남부터미널,31186,614,3
남부터미널2,64170,441,2
남성역,19764,1317,2
내방역,25146,638,2
노량진동,36061,904,3
노량진역,36061,357,3
노원마들역,17677,560,3
노원역,48537,148,2
논현역사거리,41326,785,4
논현힐탑,41704,792,3
답십리역,22891,725,5
당산,35769,427,2.666666667
당산대로,35769,401,3
당산역사거리,35769,427,2.333333333
대우재단빌딩,22260,960,2
대치,49688,624.6666667,3.333333333
대치사거리,49688,531,2.6
대치삼성프라자,49688,624,4
대치역,28358,798,4
대치은마사거리,49688,764,4
대치한티,37541,505,3
도곡공원,52263,505.6666667,3
도곡역,28358,798,4
독립문역,16799,905,3
독산사거리,34262,433,2
동교,62256,607,3
동대문공원,21022,210,3
동대문두타,21022,455,4
동대입구역,10312,588,3
동묘앞역,13072,581.8,2.4
동부이촌동,27412,543,2
동빙고,16698,1025,1
둔촌동,26633,858,5
등촌,39037,535.4,3.2
등촌역,18873,847.3333333,4
뚝섬역,20362,559,3
르네상스사거리,97922,589,4
마곡나루공원,32247,998,2
마곡역,48802,925,4
마포아크로,20724,573,5.5
마포염리,13491,441,2
마포이마트,20724,409,3
마포일진빌딩,20724,573,5
망원역,62256,520,3
명동남산,28483,627,2
명동역,28483,627,2
명동입구,28483,246,1
명일역,28627,435,2
목동,40547,261,5
목동10단지,23312,264,4
목동7단지,45627,184,5
목동8단지,20291,236,5
목동역,32888,405,3
목동트라팰리스,45627,188,4
목동파라곤,45627,99.5,3.5
몬테소리,41208,549,3.5
무교동,28483,230,2
무교로,28483,230,2
묵동,26575,327.75,3
묵동이마트,26575,397,3
문래동,40040,300,2
미아사거리역,22274,894,2.5
미아역,22274,1031.333333,2
미아이마트,16027,894.3333333,2.333333333
발산역,39037,535,3
발산역사거리,48802,1012,4
방배,25146,638,2
방배다이치빌딩,21403,774,2
방배로,19793,795,3
방배역,21403,723,2.333333333
방이역,38011,392,4
뱅뱅사거리,36550,593,4
별다방,22260,626,2
봉은사로선정릉,38899,891,3
봉은사역,35255,577.5,3
불광역,34060,289,3
사가정역,20503,1172,1
삼성,38899,721,4
삼성역섬유센터R,49688,622,4
삼성현대힐,38899,698,3
삼청동,5268,353.3333333,1
상계초교사거리,48537,153,3
상수역,25350,605.6666667,2.333333333
상암DMC,46250,198,4
상왕십리역,30053,592,2
서강광흥창역,25350,589,4
서강대,18567,600,3
서강대흥역,20883,380,3
서교,62256,572,3
서교동사거리,62256,405,3
서대문역,33585,905,3
서소문,24141,684,3
서소문로,24141,684,3
서소문배재,24141,684.5,3
서울교대,31186,401,3
서울대역,18871,577.6666667,4
서울대입구역,38481,577.3333333,4
서울세관사거리,41704,437,3
서울아트센터,64170,640,4
서울역서부,20780,737,2
서이초교사거리,41879,1133,2
서초구청,41879,310.75,4.25
서초동,31186,1130,3
서초법원,64170,569,3
서초우성사거리,41879,586,4
서초중앙로,40479,998,3
석촌서호,31091,587,3
석촌호수,29578,518,2
선릉동신빌딩R,38899,721,4
선릉역,97922,589,4
선유도역,29001,405,2
선유동이레빌딩,29001,401,4
선정릉역,38899,891,3
성대입구,26705,880,4
성수낙낙,31881,747,2
성수역,31881,631,1
소공로,24141,246,1
소공로북창,24141,221,2
송파개롱역,28576,559,3
송파구청,33071,201,3
송파나루역DT,29578,407,3
송파마천사거리DT,16923,418,2
송파방이DT,18752,433,3
송파사거리,29578,478,1
송파위례,34098,234,0
수유역,19348,237,2
숙대,20780,627,1
숭실대,43961,1839,2
스탈릿대치R,28358,662.5,4
스페이스본,22874,458,2
시청,28483,321,2
시청플러스,28483,321,2
신논현역,33095,785,4
신당역,10619,413,3
신당역사거리,12939,417.25,3
신림,26927,590,2
신림DT,26927,960,4
신림사거리,26927,404,4
신림역포도몰,26927,301.5,2.5
신사역성일빌딩,41326,579.6666667,4
신설동역,37959,687,2
신세계본점5F,22260,188,4
신세계타임스퀘어1F,50662,202,3
신세계타임스퀘어B2,50662,202,3
신월동DT,13831,435,4
신정DT,32888,922,3
쌍문도봉로,27454,433,2
쌍문역,23362,595,2
아차산역,21339,443,4
아크로힐스논현,97922,506,3
아크플레이스,97922,557,4
아현역,35527,554,0
압구정로데오역,43176,533,3
압구정미소,34464,833.6666667,2.333333333
