,store_name,유동인구_평균_x,차선수_x,cluster,LINK_ID,lat_x,lot_x,유동인구_평균_y,lat_y,lot_y,일자,링크아이디,거리,차선수_y,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
19,공덕,37752,4,0,1130001800,37.545913,126.952956,37752,37.545913,126.952956,20210715.5,1130001800,1309,4,32.0125,31.59,31.665,32.325,31.825,31.8375,28.18,22.6225,17.8475,21.6475,22.6275,22.5725,24.0525,23.1,20.6475,21.8125,24.6325,26.0675,24.6625,24.8625,26.3575,26.0975,26.7025,28.855
55,논현역사거리,41326,4,0,1220027867,37.510178,127.022223,41326,37.510178,127.022223,20210715.5,1220027867,785,4,24.755,25.7025,26.9925,28.39083333,27.81083333,29.09166667,27.62333333,24.49583333,22.49916667,20.88083333,19.75916667,17.35166667,17.07083333,16.83666667,16.50416667,15.5725,14.36333333,14.04583333,11.88083333,14.96916667,18.54333333,19.92416667,19.95833333,21.67583333
64,대치삼성프라자,49688,4,0,1220024300,37.500313,127.066961,49688,37.500313,127.066961,20210715.5,1220024300,624,4,29.595,34.29,36.94,35.92,37.0275,28.63,26.1725,23.69,18.9,16.21,18.3,17.865,18.28,16.355,16.3625,15.815,14.6875,10.8725,7.8025,10.89,17.1225,18.2025,14.99,20.72
66,대치은마사거리,49688,4,0,1220022533,37.498973,127.060172,49688,37.498973,127.060172,20210715.5,1220022533,764,4,28.51,27.72916667,30.47583333,31.0925,32.41666667,32.73583333,30.5625,26.80833333,24.44416667,23.99916667,23.65833333,22.4175,22.6725,20.1675,18.48333333,17.44,17.6175,15.74333333,16.1625,19.31,22.20083333,21.955,19.26833333,24.66666667
85,마곡역,48802,4,0,1150013600,37.559611,126.826298,48802,37.559611,126.826298,20210715.5,1150013600,925,4,24.4125,24.5225,24.52,26.89,26.745,25.3075,23.8775,20.68,13.2025,11.68,15.9975,20.865,22.925,23.12,22.68,21.5025,19.2425,17.72,16.675,16.81,20.0525,21.5025,23.735,24.2075
95,목동,40547,5,0,1140035100,37.53638383,126.8785597,40547,37.53638383,126.8785597,20210715.5,1140035100,261,5,30.4725,27.825,27.87,32.5425,33.6425,29.535,26.875,29.2325,29.8925,30.44,29.88,29.345,28.97,29.37,30.335,30.445,29.0175,22.0675,21.6275,26.5225,29.445,31.545,32.2075,36.435
97,목동7단지,45627,5,0,1140023500,37.528012,126.87053,45627,37.528012,126.87053,20210715.5,1140023500,184,5,31.2275,32.8875,34.795,33.2975,27.515,34.46,34.195,33.5475,32,30.785,30.9625,32.575,32.8375,32.3925,30.9775,30.8375,30.2775,28.6925,25.1675,29.1625,31.1175,33.0075,30.075,32.1475
100,목동트라팰리스,45627,4,0,1140019600,37.5255,126.8702,45627,37.5255,126.8702,20210715.5,1140019600,188,4,35.54375,35.82125,33.9975,37.22,35.89375,33.685,26.25625,30.34625,26.65375,27.86,29.5725,30.69375,31.01875,30.4075,28.98625,28.39625,25.59375,23.6025,20.035,24.24375,28.64,31.5,29.28125,31.85875
101,목동파라곤,45627,3.5,0,1140026700,37.52947,126.874996,45627,37.52947,126.874996,20210715.5,1140026700,99.5,3.5,28.95,24.58625,23.22625,23.7,27.15125,26.53,28.14125,28.08625,27.05375,26.57,27.03625,27.49625,27.9725,27.89625,26.65,28.0975,28.32375,27.31,27.875,29.28125,26.90875,26.965,28.41375,29.19
112,발산역사거리,48802,4,0,1150001900,37.558509,126.835096,48802,37.558509,126.835096,20210715.5,1150001900,1012,4,25.6575,27.7325,25.41,27.17,26.9125,29.45,29.1325,24.395,20.705,19.135,17.9875,18.68,18.175,18.355,16.665,16.7225,16.83,15.3875,12.4325,13.565,20.1475,22.12,24.0375,25.5075
117,방이역,38011,4,0,1230023400,37.508666,127.126569,38011,37.508666,127.126569,20210715.5,1230023400,392,4,40.5075,40.905,39.6375,46.06,45.72,40.9225,38.7825,32.545,29.89,27.805,28.39,28.905,27.6675,26.26,27.77,26.745,28.9725,26.9925,26.0775,27.1225,33.4525,34.33,34.575,38.4475
118,뱅뱅사거리,36550,4,0,1220011900,37.488585,127.032415,36550,37.488585,127.032415,20210715.5,1220011900,593,4,30.7375,35.2175,32.4125,34.2425,33.4975,30.9775,30.5625,24.925,16.1575,11.64,8.6125,11.4275,18.24,19.825,19.0975,18.335,19.4025,21.4925,22.99,25.2925,25.95,26.185,26.14,27.8075
124,삼성,38899,4,0,1220026800,37.50703529,127.0555503,38899,37.50703529,127.0555503,20210715.5,1220026800,721,4,29.8275,30.5125,33.2,33.4575,33.03,34.8175,33.2225,30.9675,26.5,24.9525,22.3825,19.8425,20.9075,20.5075,19.275,19.3625,20.24,19.5,20.1,23.0925,23.4025,21.67,17.8725,21.0575
125,삼성역섬유센터R,49688,4,0,1220028050,37.50775,127.060651,49688,37.50775,127.060651,20210715.5,1220028050,622,4,21.04875,23.8025,24.73625,25.8225,27.72875,31.65625,31.80125,22.51625,18.86,16.4725,13.99375,13.29875,15.38375,14.265,12.60375,12.20375,13.08375,13.34875,15.41125,18.31125,20.22125,19.7875,16.56875,16.7425
130,상암DMC,46250,4,0,1130026500,37.577623,126.890684,46250,37.577623,126.890684,20210715.5,1130026500,198,4,27.8925,27.3425,24.4775,35.5075,32.06,23.4125,19.1125,20.865,21.76,21.585,20.925,22.1225,19.725,23.4025,21.8875,20.88,18.6275,19.0275,21.07,22.8,24.1475,25.275,28.335,28.885
