store_name,store_address,lat,lot,도로,길,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_ALWNC_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_BSI_INT,Z_KAIS_TL_SPRD_MANAGE_11000_ENG_RN,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_DE,Z_KAIS_TL_SPRD_MANAGE_11000_MVMN_RESN,Z_KAIS_TL_SPRD_MANAGE_11000_MVM_RES_CD,Z_KAIS_TL_SPRD_MANAGE_11000_NTFC_DE,Z_KAIS_TL_SPRD_MANAGE_11000_OPERT_DE,Z_KAIS_TL_SPRD_MANAGE_11000_RBP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_DPN_SE,Z_KAIS_TL_SPRD_MANAGE_11000_RDS_MAN_NO,Z_KAIS_TL_SPRD_MANAGE_11000_REP_CN,Z_KAIS_TL_SPRD_MANAGE_11000_RN_CD,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_BT,Z_KAIS_TL_SPRD_MANAGE_11000_ROAD_LT,Z_KAIS_TL_SPRD_MANAGE_11000_ROA_CLS_SE,Z_KAIS_TL_SPRD_MANAGE_11000_SIG_CD,Z_KAIS_TL_SPRD_MANAGE_11000_WDR_RD_CD
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동)1522-3232,"37.501087","127.043069",언주로,,"20090701",옛 지명 인용,"20",Eonju-ro,"20141030",기재내용정정,"71","20090710","20181116105137",서울특별시 서초구 내곡동 산12-431(인능산1자연공원),"1","1455",서울특별시 강남구 압구정동 480,"3005086",4.00000000,12080.00000000,"3","11650","2"
논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,"37.510178","127.022223",강남대로,,"20090701",행정구역 명칭 사용,"10",Gangnam-daero,"20141030",기재내용정정,"71","20090710","20181116105004",서울특별시 서초구 양재동 238-1(염곡사거리),"1","2091",서울특별시 용산구 한남동 782(한강대교북단),"2102001",6.00000000,7820.00000000,"2","11650","2"
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,"37.514132","127.020563",강남대로,,"20090701",행정구역 명칭 사용,"10",Gangnam-daero,"20141030",기재내용정정,"71","20090710","20181116105004",서울특별시 서초구 양재동 238-1(염곡사거리),"1","2091",서울특별시 용산구 한남동 782(한강대교북단),"2102001",6.00000000,7820.00000000,"2","11650","2"
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,"37.499517","127.031495",테헤란로,,"20100419",테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정,"20",Teheran-ro,"20141030",직권수정(속성변경),"99","20100422","20160607095026",역삼동 821,"0","13",삼성동 171-3,"3122010",50.00000000,3898.00000000,"2","11680","3"
스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,"37.494668","127.062583",남부순환로,,"20090710",서울의 남쪽을 연결하는 도로,"10",Nambusunhwan-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100315","20141030225218",신림동 1673,"1","3260",남현동 1130-1,"2000003",5.00000000,32620.00000000,"2","11620","1"
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,"37.515","127.063196",봉은사로,,"20100419",강남개발 이전부터 존재하던 주요문화재 봉은사의 명칭을 인용,"20",Bongeunsa-ro,"20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20100422","20141030225533",논현동 200-7,"0","14",삼성동 171-4,"3122004",35.00000000,4200.00000000,"3","11680","3"
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동)1522-3232,"37.5227934","127.0286009",논현로,,"20100520",행정구역명칭 인용,"20",Nonhyeon-ro,"20141117",기재내용정정,"71","20100520","20181107140150",서울특별시 서초구 양재동 402-6(양재대로),"0","26",서울특별시 성동구 옥수동 487(동호대교 북단),"3121022",30.00000000,8300.00000000,"3","11680","2"
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동)1522-3232,"37.51015","127.060275",영동대로,,"20100419",영등포의 동쪽 지역을 의미하는 영동이라는 지명에서 유래,"20",Yeongdong-daero,"20141030",기재내용정정,"71","20100422","20181107140506",서울특별시 강남구 개포동 192-1,"0","6",서울특별시 성동구 성수동2가 158-1(영동대교 북단),"2122002",70.00000000,5683.00000000,"2","11680","2"
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동)1522-3232,"37.50775","127.060651",테헤란로,,"20100419",테헤란시와 서울시의 자매결연을 기념 상호 도시명을 도로명으로 제정,"20",Teheran-ro,"20141030",직권수정(속성변경),"99","20100422","20160607095026",역삼동 821,"0","13",삼성동 171-3,"3122010",50.00000000,3898.00000000,"2","11680","3"
압구정R,서울특별시 강남구 언주로 861 (신사동)1522-3232,"37.5273669","127.033061",언주로,,"20090701",옛 지명 인용,"20",Eonju-ro,"20141030",기재내용정정,"71","20090710","20181116105137",서울특별시 서초구 내곡동 산12-431(인능산1자연공원),"1","1455",서울특별시 강남구 압구정동 480,"3005086",4.00000000,12080.00000000,"3","11650","2"
