,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y,일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
4,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210705,월,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,23.46,23.81,26.99,27.2,26.12,25.5,27.39,26.14,24.62,21.09,20.72,16.62,17.32,16.72,16.81,16.96,15.33,15.73,11.33,15.32,16.14,18.49,18.68,19.62
11,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210712,월,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,21.84,24.44,25.54,27.36,24.9,28.89,26.95,23.94,22.49,20.66,19.04,17.37,17.45,16.41,17.27,16.63,16.76,14.79,14.22,16.76,18.5,19.34,17.41,18.84
18,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210719,월,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,24.14,25.67,25.47,26.77,25.72,29.87,27.78,24.72,22.82,20.19,19.25,18.82,17.65,18.12,18.6,17.26,15.07,12.38,7.66,12.85,17.73,19.59,18.39,20.19
25,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210726,월,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,23.37,24.69,22.2,27.43,27.95,27.04,25.65,25.71,22.31,20.98,17.56,11.47,10.9,10.7,12.57,13.97,13.01,13.58,13.18,15.58,19.69,19.93,18.03,18.8
35,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210705,월,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,25.3,26.46,30.0,30.23,30.73,29.99,28.79,22.77,20.8,21.04,21.82,19.74,19.68,19.41,17.72,12.87,10.95,12.02,10.5,14.01,20.34,22.43,24.41,26.24
42,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210712,월,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,27.38,24.29,29.94,32.55,27.41,35.5,29.64,24.26,21.15,21.36,20.5,21.13,21.22,19.37,16.54,14.44,13.94,14.87,16.03,15.75,20.96,19.19,21.65,26.56
49,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210719,월,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,30.6,32.67,32.91,30.84,32.09,30.51,28.71,22.79,22.26,21.87,22.43,20.89,20.12,20.7,16.66,13.99,12.79,13.94,10.54,14.46,16.33,20.7,22.88,26.05
56,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210726,월,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,28.16,27.79,30.66,29.55,34.12,30.5,28.8,23.11,21.3,20.46,19.22,17.9,17.19,18.66,16.63,15.93,14.34,14.76,12.72,14.39,20.77,22.07,25.54,26.36
66,1220030700,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210705,월,강남대로,1220030700,논현역,신사역,상행,579,4,주간선도로,외곽,서초구,25.58,26.64,26.99,27.67,28.31,32.77,32.78,27.04,27.17,17.44,12.68,7.39,8.34,10.23,11.97,14.27,13.34,17.38,13.3,17.19,22.91,27.49,29.32,27.55
73,1220030700,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.514132,127.020563,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.514132,127.020563,20210712,월,강남대로,1220030700,논현역,신사역,상행,579,4,주간선도로,외곽,서초구,26.13,27.74,28.52,27.7,28.16,30.4,30.65,27.06,24.31,17.41,15.91,12.38,10.88,9.6,12.62,14.79,11.38,14.6,15.15,18.67,22.98,26.73,27.0,26.96
