,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y,일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210703,토,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.03,21.54,23.63,21.78,20.89,18.37,16.9,18.76,13.04,7.72,6.96,12.24,17.09,17.23,17.86,17.25,19.63
9,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210710,토,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,19.15,19.69,22.44,23.46,24.06,24.0,23.38,21.05,23.41,23.37,20.83,20.97,19.88,17.38,19.74,17.46,16.67,17.02,15.76,18.46,18.96,17.93,17.45,18.59
16,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210717,토,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,20.53,21.94,22.14,22.48,23.36,23.71,25.19,22.23,23.3,22.46,18.6,19.82,15.37,17.66,18.5,11.23,13.31,15.64,16.08,19.17,18.21,18.18,18.67,19.72
23,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210724,토,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,19.9,19.77,22.18,24.02,23.46,26.27,24.15,22.5,21.45,22.61,21.13,21.39,19.41,20.0,21.09,17.74,15.59,15.95,16.36,18.7,18.68,17.94,18.05,19.37
30,1220027900,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210731,토,강남대로,1220027900,교보타워사거리,논현역,상행,785,4,주간선도로,외곽,서초구,19.24,20.32,20.44,23.3,24.89,22.52,22.49,21.73,23.78,22.54,20.81,19.5,18.86,20.38,16.41,14.94,14.35,17.17,19.81,21.42,21.32,19.29,19.01,20.53
33,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210703,토,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.47,27.37,21.57,19.77,18.17,19.79,18.72,17.66,17.22,15.59,14.31,15.32,21.38,23.26,25.73,25.57,25.98
40,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210710,토,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,26.13,26.98,28.89,28.89,28.11,26.58,28.63,29.83,27.13,22.04,20.3,19.43,17.65,17.19,16.96,14.44,14.39,17.62,21.2,22.6,23.4,24.91,25.19,27.64
47,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210717,토,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,24.49,25.78,27.92,28.58,27.13,32.33,30.74,27.82,26.17,21.81,19.1,16.88,16.92,16.81,15.5,16.9,19.92,21.02,21.98,22.42,23.95,25.55,25.17,27.28
54,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210724,토,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,25.83,30.29,29.27,27.43,27.08,29.0,29.6,27.35,25.6,20.59,18.5,19.34,18.33,18.01,16.76,17.34,18.8,19.49,21.66,24.62,23.76,26.49,27.01,28.21
61,1220027800,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.510178,127.022223,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현1동,강남대로,41326,37.510178,127.022223,20210731,토,강남대로,1220027800,논현역,교보타워사거리,하행,785,4,주간선도로,외곽,서초구,26.2,27.86,27.31,29.22,28.61,29.79,30.67,27.58,25.82,23.15,22.2,19.23,18.68,15.83,17.36,18.23,19.97,21.24,22.51,23.43,24.5,25.07,25.63,26.18
